Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1482.15,1592.9,1482.15,1592.2,1592.2,25358322
2000-01-04,1594.4,1641.95,1594.4,1638.7,1638.7,38787872
2000-01-05,1634.55,1635.5,1555.05,1595.8,1595.8,62153431
2000-01-06,1595.8,1639,1595.8,1617.6,1617.6,51272875
2000-01-07,1616.6,1628.25,1597.2,1613.3,1613.3,54315945
2000-01-10,1615.65,1662.1,1614.95,1632.95,1632.95,45013949
2000-01-11,1633.25,1639.9,1548.25,1572.5,1572.5,49120254
2000-01-12,1572.3,1631.55,1571.7,1624.8,1624.8,38364961
2000-01-13,1627.85,1671.15,1613.65,1621.4,1621.4,44738447
2000-01-14,1622.15,1627.4,1591.4,1622.75,1622.75,43292009
2000-01-17,1623.5,1668.45,1604.65,1611.6,1611.6,42683260
2000-01-18,1611.65,1615.15,1587.85,1606.7,1606.7,37564199
2000-01-19,1610.05,1644.45,1608.85,1634.85,1634.85,42981295
2000-01-20,1634.65,1644.4,1596.65,1601.1,1601.1,42625471
2000-01-21,1601.25,1626.5,1593.2,1620.6,1620.6,39715905
2000-01-24,1623.05,1645,1608.3,1613.6,1613.6,34726595
2000-01-25,1612.95,1613.65,1579.55,1586.4,1586.4,36881758
2000-01-27,1600.5,1633.55,1600.05,1603.9,1603.9,38102878
2000-01-28,1603.65,1610.9,1592.7,1599.1,1599.1,46563431
2000-01-31,1598.35,1598.35,1538.7,1546.2,1546.2,36153239
2000-02-01,1546.2,1554.15,1521.4,1549.5,1549.5,37161352
2000-02-02,1554.2,1605.9,1554.2,1588,1588,39358471
2000-02-03,1591.25,1616.7,1591.25,1597.9,1597.9,40826374
2000-02-04,1598.5,1621.35,1596.45,1599.75,1599.75,30459542
2000-02-07,1599.8,1645.9,1599.8,1636.6,1636.6,34666978
2000-02-08,1636.6,1676.1,1636.6,1662.75,1662.75,40722843
2000-02-09,1666.95,1731.65,1666.7,1689.65,1689.65,41767017
2000-02-10,1692.1,1713.7,1692.1,1711.2,1711.2,30110126
2000-02-11,1712.85,1771.65,1712.85,1756,1756,33406798
2000-02-14,1777.75,1795.45,1738.75,1744.5,1744.5,31621011
2000-02-15,1744.5,1744.5,1694.45,1702.55,1702.55,39135619
2000-02-16,1704.85,1742.8,1704.15,1711.1,1711.1,31314383
2000-02-17,1710.05,1753.1,1710.05,1742.1,1742.1,28333952
2000-02-18,1742.3,1764.15,1713.45,1717.8,1717.8,24491796
2000-02-21,1719.55,1767.8,1719.55,1753.5,1753.5,26015488
2000-02-22,1754.2,1781.05,1733.55,1739.05,1739.05,33425078
2000-02-23,1745.2,1818.15,1689.2,1696.4,1696.4,27905642
