Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-01,4859.1,4880.7,4851.3,4869.5,12895749,372.89
2013-01-02,4893.25,4919.8,4891.25,4911.3,19572716,736.42
2013-01-03,4934.5,4937.55,4898.25,4905.35,20530585,649.22
2013-01-04,4901.6,4902.75,4871.8,4892.9,28390554,629.32
2013-01-07,4913.2,4949.25,4906.5,4913.2,22508954,663.79
2013-01-08,4924.5,4936.8,4909,4915.3,20856928,648.93
2013-01-09,4937.7,5002.85,4937.7,4951.75,32187210,1162.75
2013-01-10,4978.55,5007.65,4959,4970.9,31358714,924.89
2013-01-11,4980.5,4988.5,4893.25,4908.35,25215245,750.37
2013-01-14,4908.9,4925.75,4870.9,4882.1,17693994,763.99
2013-01-15,4896.95,4940.5,4889.75,4903.25,26613774,815.72
2013-01-16,4892.9,4900,4774.85,4784.05,28921832,1086.08
2013-01-17,4796.5,4834.7,4793.9,4806.6,24151967,1015.63
2013-01-18,4807.7,4807.7,4757.05,4778.25,30353458,1250.72
2013-01-21,4786.65,4790.6,4746.15,4765.1,22207026,730.63
2013-01-22,4764,4778.8,4726.5,4739.3,20138318,618.04
2013-01-23,4738.5,4754.65,4674.85,4699.6,23037518,658.1
2013-01-24,4587.1,4605.2,4524.5,4579.9,55304787,1479.66
2013-01-25,4585.55,4686.75,4585.55,4679.05,43313806,1265.04
2013-01-28,4688.3,4737.25,4687,4723.25,25562695,771.61
2013-01-29,4710.95,4762,4676.25,4680.8,26303177,858.89
2013-01-30,4691.85,4699.15,4651.4,4658.55,20589309,590.47
2013-01-31,4650.6,4684.6,4635.45,4649.9,19529941,741.25
2013-02-01,4649.45,4679.95,4539.95,4591.05,30404057,916.6
2013-02-04,4647.3,4664.55,4620.1,4628.15,22704216,683.1
2013-02-05,4598.6,4620.85,4590.6,4611.95,20728060,570.07
2013-02-06,4634.1,4638.75,4597.25,4605.5,27001905,755.43
2013-02-07,4593.3,4625.55,4593.3,4615.1,16573395,491.94
2013-02-08,4636.75,4660.2,4552.45,4566.05,33836625,951.89
2013-02-11,4592.7,4597.45,4563.05,4571.2,14393322,489.53
2013-02-12,4584.15,4617.3,4569.75,4611.75,18308036,532.81
2013-02-13,4656.7,4677.05,4617.65,4628,20924907,657.34
2013-02-14,4630.05,4632.6,4549.05,4567.15,20703960,817.38
2013-02-15,4518.25,4595.45,4509.95,4585.35,23638163,792.31
2013-02-18,4581.2,4594.75,4566.65,4586.2,18630792,571.72
2013-02-19,4583.8,4635.2,4571.05,4627.9,12739920,497.42
2013-02-20,4634.05,4647.8,4607.4,4619.65,18958682,603.11
2013-02-21,4593.85,4595.85,4543.9,4550.8,19410506,736.41
2013-02-22,4534.9,4553.6,4491.1,4526.8,16826298,610.82
2013-02-25,4550.2,4572.95,4525.95,4563.65,14904104,488.73
2013-02-26,4528.5,4528.5,4417.8,4436.05,18704423,614.56
2013-02-27,4444.9,4489.7,4384.55,4469.55,19509868,668.03
2013-02-28,4511,4521.7,4409.5,4424.8,33848228,1496.89
2013-03-01,4441.7,4502.05,4417.25,4481.6,25627405,1027.13
2013-03-04,4474.25,4478.8,4418.5,4454.25,18919903,771.5
2013-03-05,4449.8,4544.75,4449.8,4531.05,35591695,953.52
2013-03-06,4543.9,4570.15,4524.65,4546.6,22444605,819.93
2013-03-07,4526.1,4589.95,4513.65,4578,28276791,807.06
