Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-01,12549.95,12663.5,12547.15,12654.15,14463771,1251.21
2013-01-02,12748.85,12811.45,12748.85,12786.85,19173502,1576.19
2013-01-03,12828.3,12837.8,12722.45,12778.15,15299267,1400.81
2013-01-04,12774.8,12801.7,12684.65,12787.35,14247498,1308.19
2013-01-07,12837.45,12837.45,12682.8,12708.7,15376488,1211.38
2013-01-08,12693.6,12743.95,12632.35,12725.5,16161747,1374.07
2013-01-09,12724.4,12791.7,12687.95,12718,20803137,1925.61
2013-01-10,12775.25,12822.8,12697.75,12802.25,17945198,1631.5
2013-01-11,12832.45,12834.55,12582.65,12617.85,16288008,1341.71
2013-01-14,12622.05,12773.35,12609.9,12758.75,18865385,1632.15
2013-01-15,12766.55,12908.2,12718.4,12855.4,22098913,1939.92
2013-01-16,12836.2,12836.2,12616.2,12638.5,23353202,1930.87
2013-01-17,12608.85,12714.6,12583.35,12649.6,18933829,1600.01
2013-01-18,12688.15,12778.35,12624.4,12680,22876791,1936.52
2013-01-21,12678,12690.4,12608.5,12651.35,13806896,1152.43
2013-01-22,12640.4,12748.95,12544.4,12574.35,17986055,1433.6
2013-01-23,12635.25,12695.95,12509.45,12635.2,14130436,1228.06
2013-01-24,12624.45,12662.85,12534.25,12561.4,17182091,1548.47
2013-01-25,12575.85,12717.9,12535.75,12693.25,17898549,1439.25
2013-01-28,12705.8,12822.05,12698.85,12781.35,22657045,2015.04
2013-01-29,12804.4,12960.65,12685.9,12722.8,43090691,4329.26
2013-01-30,12754.85,12825.65,12726.65,12767.5,25435210,2522.62
2013-01-31,12741.3,12852.5,12688.75,12708.6,41354110,3454.89
2013-02-01,12718.55,12743.2,12580.85,12606.25,20519284,1705.22
2013-02-04,12656.85,12723.3,12515.35,12548.35,23395065,2099.62
2013-02-05,12426.45,12501.5,12415.15,12467.75,18651379,1709.03
2013-02-06,12525.4,12525.4,12396.8,12417.7,16879575,1417.76
2013-02-07,12372.5,12474.5,12305.45,12349.3,16832786,1504.15
2013-02-08,12341.45,12389.8,12245.95,12280.15,22965236,1900.21
2013-02-11,12298.1,12361.1,12273.65,12333,20471045,2006.2
2013-02-12,12331.4,12415.8,12301.65,12405.25,16994498,1515.33
2013-02-13,12424.95,12485.95,12361.9,12385.1,17581132,1717.31
